,7597,12129,14133,12141,16147,12393,19788,17650,18820,10823,18828,7426,22082,19778,19597,20259
2019-04-02,8.1,3.97,7.085,4.33,6.385,4.13,2.6,3.16,5.885,4.9,3.33,5.6,6.23,5.8,3.9,4.57
2019-04-03,18.93,9.9,15.4,8.57,14.965,10.6,7.9,10.1,12.1,11.135,11.100000000000001,12.815000000000001,16.4,14.2,10.585,11.5
2019-04-04,21.47,12.05,18.87,10.93,18.7,13.0,10.37,13.23,15.53,13.6,14.47,15.715,20.17,16.37,14.1,14.13
2019-04-05,17.27,12.47,19.77,12.13,18.03,12.885,11.33,14.315000000000001,16.17,13.5,15.03,15.1,24.585,14.8,17.75,14.93
2019-04-06,22.9,14.03,22.62,13.6,22.07,15.8,12.85,16.77,18.63,16.015,18.87,18.085,25.97,,18.2,16.9
2019-04-07,6.765000000000001,7.13,10.615,6.4,9.115,8.07,5.37,,11.165,8.37,8.350000000000001,14.0,12.585,,8.65,8.43
2019-04-08,2.9,3.2,5.43,3.27,3.53,4.16,2.1,2.6,5.83,4.73,3.315,,5.0,,2.8,4.67
2019-04-09,2.53,3.17,4.7,3.13,3.07,3.535,1.67,,5.3,4.13,2.8,,4.27,2.57,2.37,3.93
2019-04-10,3.07,3.13,4.87,3.57,3.6,3.47,2.43,2.77,5.6,4.13,3.25,4.23,5.33,2.93,3.33,4.3
2019-04-11,2.83,2.9,5.57,5.4,4.449999999999999,3.22,2.0,2.7,5.27,3.87,3.07,4.57,5.83,2.57,4.1,4.4
2019-04-12,2.43,2.43,4.775,4.75,4.47,2.55,1.23,1.9,3.47,2.77,2.2,3.215,4.37,1.73,2.67,3.0
2019-04-13,1.815,1.7,3.025,2.27,2.73,2.01,0.8,1.4,,2.03,1.4,2.03,2.77,1.0,1.6,2.0
2019-04-14,2.4,1.57,4.47,3.07,4.43,2.2,1.1,1.9,,1.9,1.93,2.9,3.45,1.8,2.33,3.03
2019-04-15,4.53,1.93,5.75,4.515000000000001,6.050000000000001,3.2,1.2149999999999999,3.13,,2.55,2.725,4.57,5.07,2.97,3.53,3.9
2019-04-16,4.53,2.8,4.7,4.5,4.3,3.5149999999999997,1.7,3.42,,3.33,3.0,4.67,5.8,3.33,4.0,3.2
